Symbol,Last,1M Chg,5D Chg,Earnings ttm,P/E ttm,5Y Return,5Y Rev%,Industry,Sector,Market Cap,,,Billions,Dividend(a),52W Low,52W Low Date,52W High,low,high,fair value,verdict,delta,potential profit
CNP,16.53,1.88,-1.28,1.79,8.82,-21.47%,33.33%,Utility - Electric Power,Utilities,8308226000.00,,,8.308226,1.16,11.58,3/19/2020,31.17,29.94555354,46.96823869,15.7878,Overvalued,-0.7422,-4.701098316
CBRE,44.5,8.22,-1.11,3.71,11.47,15.61%,164.03%,Real Estate Operations,Finance,14960678000.00,,,14.960678,0,29.17,3/23/2020,64.75,34.4494382,31.27413127,42.5537,Overvalued,-1.9463,-4.573750344
XRAY,40.86,6.28,-1.01,2.45,15.95,-22.05%,37.86%,Medical - Dental Suppliers,Medical,8949403000.00,,,8.949403,0.4,31.58,3/23/2020,60.87,22.71169848,32.87333662,39.0775,Overvalued,-1.7825,-4.561448404
CTSH,53.81,3.71,-0.47,4,12.87,-9.91%,63.53%,Business Software Services,Computers and Technology,29522160000.00,,,29.52216,0.88,40.01,3/23/2020,73.5,25.64579075,26.78911565,51.48,Overvalued,-2.33,-4.526029526
INCY,100,29.63,13.19,2.15,44.49,-6.84%,322.04%,Medical - Biomedical,Medical,21677600000.00,,,21.6776,0,62.48,3/23/2020,100.27,37.52,0.269272963,95.6535,Overvalued,-4.3465,-4.544005185
ETN,79.26,5.52,-2.18,5.68,13.35,15.57%,-5.15%,Machinery - Electrical,Industrial Products,32610498000.00,,,32.610498,2.92,56.42,3/23/2020,105.78,28.81655312,25.07090187,75.828,Overvalued,-3.432,-4.5260326
IP,31.85,-1.64,-2.32,4.44,6.86,-40.66%,-5.25%,Paper & Related Products,Basic Materials,12530777000.00,,,12.530777,2.05,26.38,3/23/2020,47.64,17.17425432,33.14441646,30.4584,Overvalued,-1.3916,-4.568854569
HON,138.32,6.52,-5.11,8.16,16.22,34.95%,-8.92%,Conglomerates - Div Operations,Conglomerates,98566832000.00,,,98.566832,3.6,101.08,3/23/2020,184.06,26.92307692,24.8505922,132.3552,Overvalued,-5.9648,-4.506660864
XYL,69.59,-2.23,0.25,3.02,22.05,95.31%,34.04%,Machinery - General Industrial,Industrial Products,12541718000.00,,,12.541718,1.04,54.62,3/23/2020,89.34,21.51171145,22.10655921,66.591,Overvalued,-2.999,-4.503611599
DIS,106.63,13.1,2.13,5.56,18.35,-2.65%,42.52%,Media Conglomerates,Consumer Discretionary,192513952000.00,,,192.513952,1.76,79.07,3/18/2020,153.41,25.84638469,30.49344893,102.026,Overvalued,-4.604,-4.512575226
KMI,14.97,2.33,-0.39,0.95,14.85,-66.24%,-18.59%,Oil - Production & Pipeline,Oils-Energy,33907992000.00,,,33.907992,1,9.42,3/19/2020,22.58,37.0741483,33.7023915,14.1075,Overvalued,-0.8625,-6.113769272
NVR,2917.75,646.2,-10.26,221.25,12.43,116.92%,66.24%,Building - Residential & Comm,Construction,10760633000.00,,,10.760633,0,2043.01,3/18/2020,4071.13,29.9799503,28.33070916,2750.1375,Overvalued,-167.6125,-6.094695265
FIS,127.96,14,2.84,6.42,19.16,99.59%,61.11%,Financial Transaction Services,Business Services,78864568000.00,,,78.864568,1.4,91.68,3/18/2020,158.21,28.35261019,19.12015675,123.0072,Overvalued,-4.9528,-4.026430973
MTB,105.48,-4.28,-9.27,13.79,6.98,-11.81%,46.56%,Banks - Major Regional,Finance,13707232000.00,,,13.707232,4.4,87.64,3/23/2020,174.93,16.91315889,39.70159492,96.2542,Overvalued,-9.2258,-9.584828506
XOM,43.22,6.41,0.09,2.37,16.52,-50.30%,-35.69%,Oil - International Integrated,Oils-Energy,182915296000.00,,,182.915296,3.48,30.11,3/23/2020,83.49,30.33317908,48.23332136,39.1524,Overvalued,-4.0676,-10.389146
HP,17.74,1.73,-1.44,1.58,10.17,-76.16%,-24.77%,Oil & Gas - Drilling,Oils-Energy,1931496000.00,,,1.931496,2.84,12.4,3/20/2020,64.8,30.10146561,72.62345679,16.0686,Overvalued,-1.6714,-10.40165291
USB,35.06,1.34,-2.99,4.32,7.87,-17.97%,27.73%,Banks - Major Regional,Finance,53335412000.00,,,53.335412,1.68,28.59,3/23/2020,61.11,18.45407872,42.62804778,33.9984,Overvalued,-1.0616,-3.122499882
SYF,15.62,-1.84,-2,4.29,3.3,-49.32%,52.91%,Finance - Misc Services,Finance,9172579000.00,,,9.172579,0.88,12.15,3/18/2020,38.18,22.21510883,59.08852803,14.157,Overvalued,-1.463,-10.33411033
FCX,8.34,1.86,0.15,0.02,379,-59.94%,-32.82%,Mining - Non Ferrous,Basic Materials,12101107000.00,,,12.101107,0.15,4.82,3/19/2020,14.15,42.20623501,41.06007067,7.58,Overvalued,-0.76,-10.02638522
PH,138.6,15.58,-6.57,11.78,10.7,13.15%,8.36%,Machinery - General Industrial,Industrial Products,17791114000.00,,,17.791114,3.52,93,3/18/2020,215.94,32.9004329,35.81550431,126.046,Overvalued,-12.554,-9.959855926
SYY,50.31,15.25,0.72,3.72,12.3,32.64%,29.23%,Food - Misc & Diversified,Consumer Staples,25583088000.00,,,25.583088,1.8,26,3/18/2020,85.98,48.32041344,41.48639218,45.756,Overvalued,-4.554,-9.952793076
RCL,37.39,9.73,-2.83,9.54,3.57,-48.41%,35.63%,Leisure & Recreation Services,Consumer Discretionary,7814510000.00,,,7.81451,3.12,19.25,3/18/2020,135.32,48.51564589,72.36919894,34.0578,Overvalued,-3.3322,-9.783955511
GPN,154.88,7.07,3.85,5.81,24.27,204.31%,77.09%,Financial Transaction Services,Business Services,46483824000.00,,,46.483824,0.78,105.54,3/23/2020,209.62,31.85692149,26.11392043,141.0087,Overvalued,-13.8713,-9.837194443
GILD,83.99,9.47,10.48,6.14,12.47,-19.00%,-9.81%,Medical - Biomedical,Medical,105744672000.00,,,105.744672,2.72,60.89,10/3/2019,85.97,27.5032742,2.303128998,76.5658,Overvalued,-7.4242,-9.696496347
JWN,18.8,0.08,-2.52,3.36,5.1,-75.95%,14.94%,Retail - Apparel & Shoes,Retail-Wholesale,2939305000.00,,,2.939305,0,12.27,4/3/2020,44.35,34.73404255,57.60992108,17.136,Overvalued,-1.664,-9.710550887
GE,6.84,-0.24,-0.3,0.67,9.31,-74.48%,-35.92%,Conglomerates - Div Operations,Conglomerates,59790612000.00,,,59.790612,0.04,5.9,3/18/2020,13.26,13.74269006,48.41628959,6.2377,Overvalued,-0.6023,-9.65580262
GPS,8.35,0,-0.74,1.98,3.85,-79.56%,-0.32%,Retail - Apparel & Shoes,Retail-Wholesale,3100372000.00,,,3.100372,0,5.26,4/2/2020,26.85,37.00598802,68.90130354,7.623,Overvalued,-0.727,-9.536927719
DFS,35.04,-1.83,-4.17,9.08,3.49,-39.99%,45.55%,Finance - Consumer Loans,Finance,10804164000.00,,,10.804164,1.76,23.25,3/19/2020,92.98,33.64726027,62.31447623,31.6892,Overvalued,-3.3508,-10.57394948
FTI,8.12,1.95,-0.28,0.6,12.37,-79.71%,68.83%,Oil - Field Services,Oils-Energy,3638272000.00,,,3.638272,0,4.49,3/18/2020,28.57,44.7044335,71.57857893,7.422,Overvalued,-0.698,-9.404473188
DRI,63.35,21.42,-0.99,6.16,9.41,-5.46%,35.40%,Retail - Restaurants,Retail-Wholesale,7654137000.00,,,7.654137,0,26.15,3/18/2020,128.41,58.72138911,50.66583599,57.9656,Overvalued,-5.3844,-9.288957589
COF,54.63,0.71,-5.48,12.08,4.14,-32.09%,41.46%,Finance - Consumer Loans,Finance,24988910000.00,,,24.98891,1.6,38,3/18/2020,107.59,30.44114955,49.22390557,50.0112,Overvalued,-4.6188,-9.235531241
AMP,110.95,13.01,-9.52,16.25,6.26,-13.15%,5.70%,Finance - Investment Mgmt,Finance,13643410000.00,,,13.64341,3.88,80.01,3/18/2020,180.85,27.88643533,38.65081559,101.725,Overvalued,-9.225,-9.068567216
NCLH,12.38,2.35,-0.73,5.09,2.23,-75.92%,106.74%,Leisure & Recreation Services,Consumer Discretionary,2639453000.00,,,2.639453,0,7.03,3/18/2020,59.78,43.21486268,79.29073269,11.3507,Overvalued,-1.0293,-9.068163197
WHR,105.33,7.96,0.58,16,6.04,-46.39%,2.75%,Appliances - Household,Consumer Discretionary,6601874000.00,,,6.601874,4.8,64,3/23/2020,163.64,39.2385835,35.63309704,96.64,Overvalued,-8.69,-8.992135762
JPM,95.18,1.42,-7.58,10.49,10.13,52.04%,39.49%,Banks - Major Regional,Finance,289969408000.00,,,289.969408,3.6,76.91,3/19/2020,141.1,19.19520908,32.54429483,106.2637,Undervalued,11.0837,10.43037274
WMB,18.08,5.95,1.49,0.98,16.93,-65.61%,7.39%,Oil - Production & Pipeline,Oils-Energy,21933282000.00,,,21.933282,1.6,8.41,3/19/2020,29.06,53.48451327,37.78389539,16.5914,Overvalued,-1.4886,-8.972118085
IR,26.81,5.27,0.31,0.76,32.37,0.00%,-4.60%,Machinery - General Industrial,Industrial Products,5501734000.00,,,5.501734,0,17.01,3/18/2020,38.96,36.5535248,31.18583162,24.6012,Overvalued,-2.2088,-8.978423817
CVX,87.17,16.48,2.86,6.74,11.87,-20.66%,-30.88%,Oil - International Integrated,Oils-Energy,162744560000.00,,,162.74456,5.16,51.6,3/19/2020,127,40.80532293,31.36220472,80.0038,Overvalued,-7.1662,-8.957324527
PAYC,224.99,8.24,3,2.94,70.31,583.65%,388.75%,Internet - Software,Computers and Technology,13239762000.00,,,13.239762,0,163.42,4/3/2020,342,27.3656607,34.21345029,206.7114,Overvalued,-18.2786,-8.842569882
SLB,15.28,1.28,-1.19,1.47,9.56,-83.32%,-32.24%,Oil - Field Services,Oils-Energy,21155390000.00,,,21.15539,2,11.87,3/19/2020,48.88,22.31675393,68.73977087,14.0532,Overvalued,-1.2268,-8.729684342
PBCT,11.48,-2.51,-0.82,1.38,7.65,-24.22%,67.38%,Finance - Savings & Loan,Finance,4875120000.00,,,4.87512,0.71,9.37,4/3/2020,17.66,18.37979094,34.99433749,10.557,Overvalued,-0.923,-8.743014114
KMX,65.22,11.46,-1.28,5.33,11.08,-6.79%,42.41%,Retail - Wholesale Auto Parts,Retail-Wholesale,10655970000.00,,,10.65597,0,37.59,3/18/2020,103.18,42.36430543,36.7900756,59.0564,Overvalued,-6.1636,-10.43680279
OKE,29.38,7.89,0.98,3.07,8.65,-40.32%,-16.65%,Utility - Gas Distribution,Utilities,12159118000.00,,,12.159118,3.74,12.16,3/18/2020,78.48,58.6113002,62.5637105,26.5555,Overvalued,-2.8245,-10.63621472
EXPE,63.22,9.1,0.8,4.86,11.98,-36.07%,109.37%,Internet Commerce,Retail-Wholesale,8850042000.00,,,8.850042,1.36,40.76,3/18/2020,144,35.52673205,56.09722222,58.2228,Overvalued,-4.9972,-8.582891925
CXO,51.94,13.95,-0.8,3.05,15.08,-58.73%,72.62%,Oil - US Exploration & Product,Oils-Energy,10216961000.00,,,10.216961,0.8,33.13,3/18/2020,124.53,36.2148633,58.29117482,45.994,Overvalued,-5.946,-12.92777319
MPC,25.45,5.15,-0.18,4.83,4.54,-50.65%,26.72%,Oil - Refining and Marketing,Oils-Energy,16529878000.00,,,16.529878,2.32,15.26,3/19/2020,69.65,40.03929273,63.46015793,21.9282,Overvalued,-3.5218,-16.06059777
CFG,19.87,0.76,-2.24,3.86,4.45,-22.29%,50.99%,Finance - Savings & Loan,Finance,8493114000.00,,,8.493114,1.56,14.12,3/18/2020,41.29,28.93809763,51.87696779,17.177,Overvalued,-2.693,-15.67794143
CMA,30,-4.4,-4.75,7.8,3.34,-34.33%,45.80%,Banks - Major Regional,Finance,4210320000.00,,,4.21032,2.72,24.28,3/19/2020,79.74,19.06666667,62.37772761,26.052,Overvalued,-3.948,-15.15430677
VLO,51.76,12.74,1.66,5.46,8.24,-13.81%,-17.21%,Oil - Refining and Marketing,Oils-Energy,21187282000.00,,,21.187282,3.92,31,3/18/2020,101.99,40.10819165,49.24992646,44.9904,Overvalued,-6.7696,-15.04676553
HES,37.35,6.73,-3.03,-0.92,0,-50.34%,-39.51%,Oil - US Integrated,Oils-Energy,11399780000.00,,,11.39978,1,26.06,3/18/2020,74.11,30.22757697,49.60194306,0,Overvalued,-37.35,#DIV/0!
ADS,37.86,6.99,-0.72,16.33,2.02,-87.69%,5.25%,Financial Transaction Services,Business Services,1803196000.00,,,1.803196,2.52,20.51,3/19/2020,166.12,45.82673006,77.20924633,32.9866,Overvalued,-4.8734,-14.77387788
BA,154,29.86,2.16,5.2,25.82,3.77%,-15.65%,Aerospace - Defense,Aerospace,86725408000.00,,,86.725408,0,89,3/18/2020,391,42.20779221,60.61381074,134.264,Overvalued,-19.736,-14.6993982
EOG,41.84,10.95,-2.98,4.98,7.33,-56.74%,-3.63%,Oil - US Exploration & Product,Oils-Energy,24353180000.00,,,24.35318,1.5,27,3/18/2020,107.89,35.46845124,61.21976087,36.5034,Overvalued,-5.3366,-14.61946011
DVN,9.22,2.76,-0.45,1.38,5.86,-86.14%,-68.21%,Oil - US Exploration & Product,Oils-Energy,3542970000.00,,,3.54297,0.36,4.7,3/18/2020,35.39,49.02386117,73.94744278,8.0868,Overvalued,-1.1332,-14.01295939
HAL,7.58,1.44,-0.63,1.24,5.38,-84.21%,-31.83%,Oil - Field Services,Oils-Energy,6620001000.00,,,6.620001,0.72,4.25,3/18/2020,32.3,43.93139842,76.53250774,6.6712,Overvalued,-0.9088,-13.62273654
COP,35.26,9.01,0.53,3.59,8.65,-47.77%,-33.95%,Oil - US Integrated,Oils-Energy,37970080000.00,,,37.97008,1.68,20.84,3/18/2020,67.42,40.89619966,47.70097894,31.0535,Overvalued,-4.2065,-13.5459771
APA,8.49,4.03,0.29,0,0,-87.20%,-53.71%,Oil - US Exploration & Product,Oils-Energy,3204279000.00,,,3.204279,1,3.8,3/18/2020,37.4,55.24146054,77.29946524,0,Overvalued,-8.49,#DIV/0!
DXC,15.33,5.33,-0.76,6.56,2.07,0.00%,59.66%,IT Services,Computers and Technology,3889543000.00,,,3.889543,0.84,7.9,3/18/2020,67.09,48.46705806,77.15009688,13.5792,Overvalued,-1.7508,-12.8932485
TFC,33.4,4.13,-2.71,4.36,6.8,-11.59%,47.73%,Banks - Major Regional,Finance,44923068000.00,,,44.923068,1.8,24.01,3/16/2020,56.92,28.11377246,41.32115249,29.648,Overvalued,-3.752,-12.6551538
KEY,10.81,0.57,-1.2,1.8,6.41,-24.03%,76.83%,Banks - Major Regional,Finance,10484511000.00,,,10.484511,0.74,7.45,3/19/2020,20.52,31.08233117,47.31968811,11.538,Undervalued,0.728,6.309585717
FITB,16.63,2.68,-1.19,2.77,5.33,-14.89%,50.55%,Banks - Major Regional,Finance,11826141000.00,,,11.826141,1.08,11.1,3/19/2020,31.64,33.25315695,47.43994943,14.7641,Overvalued,-1.8659,-12.63808834
LB,13.78,3.65,-1.15,2.28,5.37,-84.89%,12.75%,Retail - Apparel & Shoes,Retail-Wholesale,3810625000.00,,,3.810625,1.2,8,3/17/2020,28.01,41.94484761,50.80328454,12.2436,Overvalued,-1.5364,-12.54859682
FANG,31.52,11.29,-3.34,6.49,4.32,-60.52%,699.64%,Oil - US Exploration & Product,Oils-Energy,4989112000.00,,,4.989112,1.5,14.55,3/18/2020,114.14,53.83883249,72.38479061,28.0368,Overvalued,-3.4832,-12.42367175
HBAN,8.06,-0.31,-0.96,1.27,5.65,-25.30%,91.33%,Banks - Midwest,Finance,8214704000.00,,,8.214704,0.6,6.82,4/3/2020,15.63,15.38461538,48.4325016,7.1755,Overvalued,-0.8845,-12.32666713
TXT,27.75,-0.35,-1.69,3.75,6.59,-37.23%,-1.79%,Aerospace - Defense,Aerospace,6317149000.00,,,6.317149,0.08,20.26,3/23/2020,55.19,26.99099099,49.71915202,24.7125,Overvalued,-3.0375,-12.29135053
C,45.45,5.2,-1.96,7.58,5.99,-14.08%,14.22%,Banks - Major Regional,Finance,95363552000.00,,,95.363552,2.04,32,3/18/2020,83.11,29.5929593,45.31344002,45.4042,Overvalued,-0.0458,-0.100871726
TDG,337.4,22.39,-7.14,18.66,16.13,51.28%,120.12%,Aerospace - Defense Equipment,Aerospace,18114326000.00,,,18.114326,0,200.06,3/18/2020,673.51,40.70539419,49.90423305,300.9858,Overvalued,-36.4142,-12.09831161
PNC,101.5,5.5,-3.92,11.4,8.43,11.54%,32.82%,Banks - Major Regional,Finance,43515788000.00,,,43.515788,4.6,79.41,3/23/2020,161.79,21.7635468,37.26435503,96.102,Overvalued,-5.398,-5.616948659
PVH,44.88,7.45,-4.63,9.54,4.2,-57.02%,20.24%,Textile - Apparel,Consumer Staples,3181229000.00,,,3.181229,0.15,28.4,3/23/2020,134.24,36.7201426,66.56734207,40.068,Overvalued,-4.812,-12.00958371
MRO,4.35,0.73,0.23,0.75,5.19,-85.66%,-53.32%,Oil - US Integrated,Oils-Energy,3438318000.00,,,3.438318,0.2,3.02,4/1/2020,18.93,30.57471264,77.02060222,3.8925,Overvalued,-0.4575,-11.75337187
OXY,13.63,2.29,-1.73,1.62,7.53,-82.91%,5.60%,Oil - US Integrated,Oils-Energy,12260226000.00,,,12.260226,3.16,9,3/18/2020,63.42,33.96918562,78.50835699,12.1986,Overvalued,-1.4314,-11.73413343
NBL,6.95,2.76,-0.56,-0.34,0,-86.23%,-13.00%,Oil - US Exploration & Product,Oils-Energy,3371028000.00,,,3.371028,0.48,2.73,3/18/2020,28.4,60.71942446,75.52816901,0,Overvalued,-6.95,#DIV/0!
PSX,59.53,12.86,-1.99,8.07,6.63,-27.04%,-33.45%,Oil - Refining and Marketing,Oils-Energy,26160220000.00,,,26.16022,3.6,40.04,3/18/2020,119.92,32.73979506,50.35857238,53.5041,Overvalued,-6.0259,-11.26250138
BAC,23.28,1.3,-1.58,2.93,8.14,48.85%,19.34%,Banks - Major Regional,Finance,203112688000.00,,,203.112688,0.72,17.95,3/23/2020,35.72,22.895189,34.82642777,23.8502,Undervalued,0.5702,2.390755633
WYNN,78.46,24.08,7.81,2.6,27.8,-39.69%,21.67%,Gaming,Consumer Discretionary,8435705000.00,,,8.435705,4,35.84,3/18/2020,153.41,54.32067295,48.85600678,72.28,Overvalued,-6.18,-8.550083011
CB,118.79,8.71,-3.48,10.12,11.06,9.47%,78.32%,Insurance - Proprty & Casualty,Finance,53618008000.00,,,53.618008,3,87.35,3/18/2020,167.74,26.46687432,29.18206749,111.9272,Overvalued,-6.8628,-6.131485466
DE,138.46,11.75,-7.29,10,12.99,56.65%,8.85%,Machinery - Farm,Industrial Products,43423828000.00,,,43.423828,3.04,106.14,3/18/2020,181.99,23.34248158,23.91889664,129.9,Overvalued,-8.56,-6.589684373
PWR,34.91,5.05,1.36,3.06,10.67,19.23%,54.27%,Engineering & R&D Services,Industrial Products,4974990000.00,,,4.97499,0.2,23.77,3/23/2020,44.09,31.91062733,20.82104786,32.6502,Overvalued,-2.2598,-6.921243974
HIG,40.01,6.7,-1.87,5.65,6.62,-4.37%,11.42%,Insurance - Multi Line,Finance,14322419000.00,,,14.322419,1.3,19.04,3/18/2020,62.75,52.41189703,36.23904382,37.403,Overvalued,-2.607,-6.970029142
IT,105.96,15.95,-0.93,3.91,25.35,26.94%,110.01%,Consulting,Business Services,9441141000.00,,,9.441141,0,76.91,3/18/2020,171.77,27.41600604,38.31286022,99.1185,Overvalued,-6.8415,-6.902344164
FLT,223.59,-0.75,-1.4,11.24,18.62,37.81%,120.85%,Financial Transaction Services,Business Services,19101070000.00,,,19.10107,0,168.51,3/23/2020,329.85,24.63437542,32.21464302,209.2888,Overvalued,-14.3012,-6.833237135
UNM,15.51,2.07,-0.07,5.44,2.67,-53.95%,14.17%,Insurance - Accident & Health,Finance,3148080000.00,,,3.14808,1.14,9.58,3/23/2020,37.81,38.23339781,58.97910606,14.5248,Overvalued,-0.9852,-6.782881692
MET,33.06,4.63,-2.4,6.11,5.07,-26.91%,-5.04%,Insurance - Multi Line,Finance,30277276000.00,,,30.277276,1.76,22.85,3/23/2020,53.28,30.88324259,37.95045045,30.9777,Overvalued,-2.0823,-6.721932229
SNA,118.33,-7.11,-3.79,12.27,9.03,-23.13%,13.80%,Tools - Hand Held,Consumer Discretionary,6471113000.00,,,6.471113,4.32,90.72,3/23/2020,174,23.33305164,31.99425287,110.7981,Overvalued,-7.5319,-6.797860252
VAR,115.75,4.49,2.6,4.74,22.86,21.20%,5.75%,Medical Instruments,Medical,10494590000.00,,,10.49459,0,89.62,3/23/2020,150.06,22.57451404,22.86418766,108.3564,Overvalued,-7.3936,-6.823408677
HCA,115.66,38.2,7.6,10.5,10.32,48.78%,39.05%,Medical - Hospitals,Medical,39147324000.00,,,39.147324,1.72,58.38,3/18/2020,151.97,49.52446827,23.89287359,108.36,Overvalued,-7.3,-6.736803248
EMR,50.54,3.12,-1.24,3.52,13.46,-12.33%,-25.13%,Machinery - Electrical,Industrial Products,30922444000.00,,,30.922444,2,37.75,3/23/2020,78.38,25.30668777,35.51926512,47.3792,Overvalued,-3.1608,-6.671281913
PFG,30.53,1.88,-2.06,5.59,5.12,-40.85%,54.83%,Finance - Investment Mgmt,Finance,8347934000.00,,,8.347934,2.24,23.31,3/23/2020,60.81,23.64886996,49.7944417,28.6208,Overvalued,-1.9092,-6.670673077
PKG,90.84,-2.9,0.38,7.65,11.13,29.77%,18.99%,Containers - Paper Products,Industrial Products,8616173000.00,,,8.616173,3.16,71.05,3/12/2020,114.78,21.78555702,20.85729221,85.1445,Overvalued,-5.6955,-6.689216567
URI,105.05,23.62,-2.66,19.61,5.03,8.70%,64.49%,Building & Construction - Misc,Construction,7781895000.00,,,7.781895,0,58.85,3/18/2020,170.04,43.97905759,38.22041873,98.6383,Overvalued,-6.4117,-6.500213406
SHW,516.75,96.37,24.6,21.09,23,82.84%,60.84%,Paint & Related Products,Construction,47439716000.00,,,47.439716,5.36,325.43,3/18/2020,599.95,37.02370585,13.86782232,485.07,Overvalued,-31.68,-6.531016142
EQR,69.79,3.33,0.37,2.59,18.64,-8.83%,3.30%,REIT - Equity Trust Resident,Finance,25960344000.00,,,25.960344,2.41,49.62,3/23/2020,89.55,28.90098868,22.06588498,48.2776,Overvalued,-21.5124,-44.55979585
DAL,24.27,-7.47,-0.12,7.33,3.11,-48.34%,16.46%,Transportation - Airline,Transportation,15535082000.00,,,15.535082,0,19.1,3/18/2020,63.44,21.30201895,61.74337957,22.7963,Overvalued,-1.4737,-6.464645578
J,84.2,3.61,2.89,5.27,15,81.82%,0.34%,Engineering & R&D Services,Industrial Products,11202810000.00,,,11.20281,0.76,59.29,3/23/2020,104,29.58432304,19.03846154,79.05,Overvalued,-5.15,-6.51486401
MHK,79.6,-6.27,-8.41,10.02,7.46,-55.60%,27.77%,Textile - Home Furnishings,Consumer Discretionary,5666246000.00,,,5.666246,0,56.62,3/23/2020,156.6,28.86934673,49.16985951,74.7492,Overvalued,-4.8508,-6.489434001
WRK,30.69,4.59,-1.47,3.73,7.73,0.00%,224.79%,Paper & Related Products,Basic Materials,7932015000.00,,,7.932015,1.86,21.5,3/16/2020,44.39,29.94460736,30.86280694,28.8329,Overvalued,-1.8571,-6.440906048
FBHS,46.6,4.9,-4.23,3.61,12.13,-0.34%,43.63%,Protection - Safety,Industrial Products,6510299000.00,,,6.510299,0.96,33.9,3/23/2020,73.28,27.25321888,36.40829694,43.7893,Overvalued,-2.8107,-6.418691324
UA,8.89,-0.07,-0.46,0.34,24.59,0.00%,70.77%,Textile - Apparel,Consumer Staples,4016733000.00,,,4.016733,0,6.6,4/3/2020,24.55,25.75928009,63.78818737,8.3606,Overvalued,-0.5294,-6.33208143
UDR,38.94,0.1,-2.18,0.6,17.53,16.20%,40.85%,REIT - Equity Trust Resident,Finance,11482666000.00,,,11.482666,1.44,29.2,3/23/2020,51.25,25.01284027,24.0195122,10.518,Overvalued,-28.422,-270.2224758
FTV,60.36,7.7,-0.68,3.49,16.27,0.00%,15.51%,Electronic Test Equipment,Computers and Technology,20306010000.00,,,20.30601,0.28,37.31,3/18/2020,89.48,38.18754142,32.54358516,56.7823,Overvalued,-3.5777,-6.300731038
L,36.14,-0.58,-3.28,3.56,9.55,-13.17%,4.23%,Insurance - Multi Line,Finance,10232571000.00,,,10.232571,0.25,28.52,3/23/2020,56.88,21.08467072,36.46272855,33.998,Overvalued,-2.142,-6.30037061
LMT,401.51,82.68,30.51,21.94,17.22,105.51%,31.17%,Aerospace - Defense,Aerospace,113110592000.00,,,113.110592,9.6,266.11,3/23/2020,442.53,33.72269682,9.269428061,377.8068,Overvalued,-23.7032,-6.273894488
PEAK,26.26,2.94,-2.09,0.1,14.06,-38.14%,-11.87%,REIT - Equity Trust Other,Finance,13277896000.00,,,13.277896,1.48,18.63,3/18/2020,37.93,29.05559787,30.76720274,1.406,Overvalued,-24.854,-1767.709815
HBI,9.21,-0.59,-0.36,1.77,4.9,-71.42%,30.84%,Textile - Apparel,Consumer Staples,3296112000.00,,,3.296112,0.6,6.96,4/3/2020,19.1,24.42996743,51.78010471,8.673,Overvalued,-0.537,-6.191629194
GL,77.25,9.62,-3.15,6.74,10.8,37.73%,14.21%,Finance - Misc Services,Finance,8296419000.00,,,8.296419,0.75,56.74,3/23/2020,111.43,26.55016181,30.67396572,72.792,Overvalued,-4.458,-6.124299374
LDOS,99.28,17.9,3.82,5.16,17.99,135.54%,119.12%,Aerospace - Defense,Aerospace,14082570000.00,,,14.08257,1.36,64.85,4/22/2019,125.84,34.6796938,21.10616656,92.8284,Overvalued,-6.4516,-6.950028224
ALGN,193,23.75,-0.19,4.96,36.36,226.12%,216.00%,Medical - Dental Suppliers,Medical,15200488000.00,,,15.200488,0,127.88,3/19/2020,334.64,33.74093264,42.32608176,180.3456,Overvalued,-12.6544,-7.016750062
COG,20.96,1.87,2.08,1.62,11.92,-36.54%,-4.91%,Oil - US Exploration & Product,Oils-Energy,8354153000.00,,,8.354153,0.4,13.06,2/28/2020,27.42,37.69083969,23.55944566,19.3104,Overvalued,-1.6496,-8.542547021
HLT,75.62,10.79,7.17,3.91,17.94,21.70%,-10.00%,Hotels & Motels,Consumer Discretionary,20980618000.00,,,20.980618,0,44.3,3/18/2020,115.48,41.41761439,34.51679945,70.1454,Overvalued,-5.4746,-7.804645779
ZBH,118.58,32.42,8.22,7.87,13.89,-0.15%,70.80%,Medical Products,Medical,24475388000.00,,,24.475388,0.96,74.37,3/18/2020,161.11,37.28284702,26.39811309,109.3143,Overvalued,-9.2657,-8.476201192
HWM,11.65,-6,-1.6,2.12,5.07,-11.88%,-40.63%,Engineering & R&D Services,Industrial Products,5078457000.00,,,5.078457,0.08,10.34,4/15/2020,34.27,11.24463519,66.00525241,10.7484,Overvalued,-0.9016,-8.388225224
SYK,189.51,49.35,6.79,8.26,21.16,95.57%,53.84%,Medical Products,Medical,71033656000.00,,,71.033656,2.3,124.54,3/23/2020,226.3,34.28315128,16.25718073,174.7816,Overvalued,-14.7284,-8.426745149
BBY,70.4,10.08,4.41,6.13,10.6,98.93%,8.18%,Retail - Consumer Electronics,Retail-Wholesale,18217902000.00,,,18.217902,2.2,48.1,3/19/2020,91.99,31.67613636,23.46994239,64.978,Overvalued,-5.422,-8.344362707
AIV,39.15,1.8,-0.82,3.19,14.46,1.22%,-7.12%,REIT - Equity Trust Resident,Finance,5830610000.00,,,5.83061,1.64,24.53,3/24/2020,55.68,37.34355045,29.6875,46.1274,Undervalued,6.9774,15.12636741
CE,78.16,7.73,-5.75,9.52,7.59,18.69%,-7.42%,Chemical - Specialty,Basic Materials,9344419000.00,,,9.344419,2.48,52.7,3/18/2020,128.88,32.57420676,39.35443824,72.2568,Overvalued,-5.9032,-8.169750113
