Symbol,Last,1M Chg,5D Chg,Earnings ttm,P/E ttm,5Y Return,5Y Rev%,Industry,Sector,Market Cap,Billions,Dividend(a),52W Low,52W Low Date,52W High,Low,High,Fair Value,Verdict,Delta,Potential Profit
LW,50.2,-35.3,-7.05,3.43,15.35,0.00%,33.44%,Food - Misc & Diversified,Consumer Staples,7333819000.00,7.33,0.92,39.06,3/18/2020,96.32,22.19123506,47.8820598,52.6505,Undervalued,2.45,4.65
CTVA,22.62,-5.3,-0.59,1.1,0,0.00%,0.00%,Agriculture Operations,Consumer Staples,16948782000.00,16.95,0.52,20.38,3/18/2020,32.78,9.902740937,30.99450885,0,Overvalued,-22.62,#DIV/0!
CTXS,141.33,34.93,1.29,4.1,34.76,178.23%,-4.21%,Computer - Software,Computers and Technology,17292856000.00,17.29,1.4,90.28,8/7/2019,146.4,36.12113493,3.463114754,142.516,Undervalued,1.19,0.83
CVS,55.72,-6.82,-2.88,7.08,7.83,-45.66%,84.24%,Retail - Drug Stores,Retail-Wholesale,72667800000.00,72.67,2,51.72,5/17/2019,77.03,7.178750897,27.66454628,55.4364,Overvalued,-0.28,-0.51
FTI,7.17,-7.18,0.06,0.6,12.53,-81.55%,68.83%,Oil - Field Services,Oils-Energy,3212612000.00,3.21,0,4.49,3/18/2020,28.57,37.37796374,74.90374519,7.518,Undervalued,0.35,4.63
CXO,47.78,-19.81,5.67,3.05,15.3,-60.48%,72.62%,Oil - US Exploration & Product,Oils-Energy,9398660000.00,9.40,0.8,33.13,3/18/2020,124.53,30.66136459,61.63173532,46.665,Overvalued,-1.12,-2.39
FLIR,31.09,-10.14,-1.43,2.23,14.61,-0.32%,23.28%,Electronics - Military,Aerospace,4180237000.00,4.18,0.68,23.85,3/23/2020,59.44,23.28723062,47.69515478,32.5803,Undervalued,1.49,4.57
XYL,60.5,-19.38,-5,3.02,20.99,71.88%,34.04%,Machinery - General Industrial,Industrial Products,10903492000.00,10.90,1.04,54.62,3/23/2020,89.34,9.719008264,32.28117305,63.3898,Undervalued,2.89,4.56
C,37.49,-27.56,-6.31,7.58,5.18,-28.50%,14.22%,Banks - Major Regional,Finance,78661824000.00,78.66,2.04,32,3/18/2020,83.11,14.64390504,54.89110817,39.2644,Undervalued,1.77,4.52
DE,135.52,-22.26,0.41,10,13.94,52.15%,8.85%,Machinery - Farm,Industrial Products,42501784000.00,42.50,3.04,106.14,3/18/2020,181.99,21.67945691,25.53437002,139.4,Undervalued,3.88,2.78
USB,31.19,-14.91,-4.58,4.32,7.56,-28.71%,27.73%,Banks - Major Regional,Finance,47448132000.00,47.45,1.68,28.59,3/23/2020,61.11,8.33600513,48.9608902,32.6592,Undervalued,1.47,4.50
DG,162.2,5.78,16.08,6.74,23.69,113.22%,46.77%,Retail - Discount,Retail-Wholesale,40864828000.00,40.86,1.28,116.15,5/15/2019,167.44,28.39087546,3.129479216,159.6706,Overvalued,-2.53,-1.58
GL,63.93,-27.25,-7.3,6.74,9.93,14.45%,14.21%,Finance - Misc Services,Finance,6865891000.00,6.87,0.75,56.74,3/23/2020,111.43,11.24667605,42.62765862,66.9282,Undervalued,3.00,4.48
T,27.46,-8.84,-2.38,3.58,8.03,-16.20%,36.80%,Wireless National,Utilities,197248064000.00,197.25,2.08,26.08,3/23/2020,39.7,5.025491624,30.83123426,28.7474,Undervalued,1.29,4.48
DHR,135.15,-12.39,-3.43,4.7,29.03,59.04%,-10.06%,Conglomerates - Div Operations,Conglomerates,94185360000.00,94.19,0.72,119.6,3/23/2020,169.19,11.50573437,20.1193924,136.441,Undervalued,1.29,0.95
PHM,18.92,-23.27,-5.6,3.6,5.5,-15.23%,75.41%,Building - Residential & Comm,Construction,5107927000.00,5.11,0.48,17.12,3/23/2020,47.37,9.513742072,60.05910914,19.8,Undervalued,0.88,4.44
FMC,70.88,-23.71,-5.74,6.08,12.2,21.41%,14.17%,Chemical - Diversified,Basic Materials,9174777000.00,9.17,1.76,56.77,3/18/2020,108.77,19.90688488,34.83497288,74.176,Undervalued,3.30,4.44
TFC,27.21,-19.68,-6.06,4.36,6.53,-30.30%,47.73%,Banks - Major Regional,Finance,36597500000.00,36.60,1.8,24.01,3/16/2020,56.92,11.76038221,52.19606465,28.4708,Undervalued,1.26,4.43
DISH,18.98,-13.84,-2,2.6,7.29,-73.58%,-12.54%,Cable TV,Consumer Discretionary,9927432000.00,9.93,0,17.09,3/18/2020,44.65,9.957850369,57.49160134,18.954,Overvalued,-0.03,-0.14
DLR,136.49,6.9,3.64,2.16,20.27,109.28%,98.54%,REIT - Equity Trust Other,Finance,35388992000.00,35.39,4.48,105,3/23/2020,143.61,23.07128727,4.957872014,43.7832,Overvalued,-92.71,-211.74
KEY,9.07,-7.14,-2.13,1.8,5.27,-35.49%,76.83%,Banks - Major Regional,Finance,8796902000.00,8.80,0.74,7.45,3/19/2020,20.52,17.86108049,55.79922027,9.486,Undervalued,0.42,4.39
BWA,21.29,-9.95,-2.41,4.13,5.39,-65.27%,22.43%,Auto - Truck Original Parts,Auto-Tires-Trucks,4400728000.00,4.40,0.68,17,3/18/2020,46.6,20.15030531,54.31330472,22.2607,Undervalued,0.97,4.36
DOW,27.97,-12.59,-0.59,2.55,0,0.00%,0.00%,Chemical - Diversified,Basic Materials,20772758000.00,20.77,2.8,21.95,3/16/2020,60.52,21.52306042,53.7838731,0,Overvalued,-27.97,#DIV/0!
DRE,29.59,-4.53,-2.49,1.17,20.85,44.06%,-16.39%,REIT - Equity Trust Other,Finance,10899269000.00,10.90,0.94,25.19,3/23/2020,38.88,14.86988848,23.89403292,24.3945,Overvalued,-5.20,-21.30
DRI,45.48,-49.83,-9.18,6.16,7.19,-33.88%,35.40%,Retail - Restaurants,Retail-Wholesale,5575939000.00,5.58,0,26.15,3/18/2020,128.41,42.50219877,64.58219765,44.2904,Overvalued,-1.19,-2.69
MHK,62.01,-55.21,-16.03,10.02,6.47,-66.27%,27.77%,Textile - Home Furnishings,Consumer Discretionary,4444442000.00,4.44,0,56.62,3/23/2020,156.6,8.692146428,60.40229885,64.8294,Undervalued,2.82,4.35
SYY,39.5,-29,-10.95,3.72,11.1,3.48%,29.23%,Food - Misc & Diversified,Consumer Staples,20086106000.00,20.09,1.8,26,3/18/2020,85.98,34.17721519,54.05908351,41.292,Undervalued,1.79,4.34
HSIC,46.35,-14.21,-3.65,3.51,13.8,-16.68%,-3.72%,Medical - Dental Suppliers,Medical,6646173000.00,6.65,0,41.85,3/23/2020,73.99,9.708737864,37.35639951,48.438,Undervalued,2.09,4.31
DVN,8.38,-7.41,2.09,1.38,5.64,-87.08%,-68.21%,Oil - US Exploration & Product,Oils-Energy,3220183000.00,3.22,0.36,4.7,3/18/2020,35.39,43.91408115,76.32099463,7.7832,Overvalued,-0.60,-7.67
NI,22.49,-5.89,-2.27,1.32,17.8,30.44%,-19.50%,Utility - Electric Power,Utilities,8597095000.00,8.60,0.84,19.56,3/16/2020,30.67,13.02801245,26.67101402,23.496,Undervalued,1.01,4.28
EA,102.83,-3.87,7.46,4.18,24.47,76.23%,38.46%,Toys & Game & Hobby,Consumer Discretionary,29787180000.00,29.79,0,85.69,3/16/2020,114.13,16.66828746,9.900990099,102.2846,Overvalued,-0.55,-0.53
EBAY,29.41,-7.31,-0.77,2.29,12.75,21.82%,-39.67%,Internet Commerce,Retail-Wholesale,23412742000.00,23.41,0.64,26.02,3/23/2020,42,11.5266916,29.97619048,29.1975,Overvalued,-0.21,-0.73
ECL,147.26,-46.66,-10.22,5.82,26.14,26.56%,4.38%,Chemical - Specialty,Basic Materials,42435320000.00,42.44,1.88,124.6,3/23/2020,211.24,15.38774956,30.28782428,152.1348,Undervalued,4.87,3.20
AMD,42.59,-4.16,-3.99,0.48,92.69,1443.12%,22.25%,Electronics - Semiconductors,Computers and Technology,49866588000.00,49.87,0,26.03,5/23/2019,59.27,38.88236675,28.14239919,44.4912,Undervalued,1.90,4.27
EFX,106.62,-44.65,-12.93,5.61,19.48,14.14%,43.97%,Financial Transaction Services,Business Services,13004548000.00,13.00,1.56,103.01,3/23/2020,164.77,3.385856312,35.29161862,109.2828,Undervalued,2.66,2.44
GLW,17.91,-5.98,-2.83,1.75,10.69,-20.12%,18.40%,Communications Components,Computers and Technology,13658524000.00,13.66,0.88,17.44,3/23/2020,35.34,2.624232272,49.32088285,18.7075,Undervalued,0.80,4.26
EL,154.08,-34.31,-6.6,5.97,24.99,84.66%,35.50%,Cosmetics & Toiletries,Consumer Staples,55397772000.00,55.40,1.92,137.01,3/18/2020,220.42,11.07866044,30.09708738,149.1903,Overvalued,-4.89,-3.28
XEL,57.86,-7.85,-0.91,2.64,22.89,66.89%,-1.34%,Utility - Electric Power,Utilities,30357350000.00,30.36,1.72,46.58,3/23/2020,72.14,19.49533356,19.79484336,60.4296,Undervalued,2.57,4.25
DUK,76.02,-19.59,-4.17,5.06,15.69,-2.34%,4.82%,Utility - Electric Power,Utilities,55800880000.00,55.80,3.78,62.13,3/23/2020,103.79,18.2715075,26.75594951,79.3914,Undervalued,3.37,4.25
EOG,39.89,-22.54,3.89,4.98,7.69,-58.70%,-3.63%,Oil - US Exploration & Product,Oils-Energy,23218174000.00,23.22,1.15,27,3/18/2020,107.89,32.31386312,63.02715729,38.2962,Overvalued,-1.59,-4.16
EQIX,624.69,9.53,30.42,6,27.4,160.67%,127.60%,REIT - Equity Trust Retail,Finance,50515552000.00,50.52,10.64,440.72,4/26/2019,657,29.4498071,4.917808219,164.4,Overvalued,-460.29,-279.98
EQR,54.26,-24.3,-8.42,2.59,15.59,-28.25%,3.30%,REIT - Equity Trust Resident,Finance,20183526000.00,20.18,2.41,49.62,3/23/2020,89.55,8.551419093,39.40815187,40.3781,Overvalued,-13.88,-34.38
AAP,84.65,-45.68,-10.95,8.2,10.78,-43.64%,-1.37%,Retail - Wholesale Auto Parts,Retail-Wholesale,5860996000.00,5.86,1,71.33,3/23/2020,182.56,15.73538098,53.63168273,88.396,Undervalued,3.75,4.24
ESS,190.86,-101.03,-37.74,6.67,14.56,-14.10%,50.64%,REIT - Equity Trust Resident,Finance,12629586000.00,12.63,8.31,175.81,3/23/2020,334.17,7.885360998,42.88535775,97.1152,Overvalued,-93.74,-96.53
ETFC,34.29,-10.71,0.31,4.13,8.29,21.38%,55.77%,Finance - Investment Brokers,Finance,7578913000.00,7.58,0.56,25.76,3/18/2020,57.3,24.87605716,40.15706806,34.2377,Overvalued,-0.05,-0.15
EIX,49.36,-18.94,-6,4.69,10.99,-22.62%,-7.95%,Utility - Electric Power,Utilities,17898628000.00,17.90,2.55,43.63,3/16/2020,78.93,11.60858995,37.46357532,51.5431,Undervalued,2.18,4.24
MTB,91.67,-47.56,-15.62,13.79,6.94,-26.30%,46.56%,Banks - Major Regional,Finance,11912608000.00,11.91,4.4,87.64,3/23/2020,174.93,4.396203774,47.59618133,95.7026,Undervalued,4.03,4.21
EMR,45.72,-18.02,0.14,3.52,13.56,-19.58%,-25.13%,Machinery - Electrical,Industrial Products,27973372000.00,27.97,2,37.75,3/23/2020,78.38,17.43219598,41.66879306,47.7312,Undervalued,2.01,4.21
EW,189.07,-19.49,-9.08,5.57,33.19,166.90%,87.18%,Medical Instruments,Medical,39538888000.00,39.54,0,154.52,3/23/2020,247.64,18.27365526,23.65126797,184.8683,Overvalued,-4.20,-2.27
YUM,63.3,-28.01,-5.23,3.55,18.61,9.96%,-57.85%,Retail - Restaurants,Retail-Wholesale,19042032000.00,19.04,1.88,54.95,3/23/2020,119.72,13.19115324,47.1266288,66.0655,Undervalued,2.77,4.19
QRVO,73.44,-24.86,-7.25,5.39,14.22,-0.19%,169.14%,Semi Radio Frequency,Computers and Technology,8495906000.00,8.50,0,58.52,5/23/2019,122.37,20.31590414,39.98529051,76.6458,Undervalued,3.21,4.18
EXPE,48.71,-46.48,-11.32,4.86,9.85,-50.89%,109.37%,Internet Commerce,Retail-Wholesale,6818816000.00,6.82,1.36,40.76,3/18/2020,144,16.32108397,66.17361111,47.871,Overvalued,-0.84,-1.75
EXR,96.13,-9.52,0.11,3.22,19.62,43.31%,102.18%,REIT - Equity Trust Other,Finance,12459698000.00,12.46,3.6,72.7,3/23/2020,124.46,24.37324456,22.76233328,63.1764,Overvalued,-32.95,-52.16
PKG,80.51,-10.39,-5.58,7.65,10.98,2.23%,18.99%,Containers - Paper Products,Industrial Products,7636373000.00,7.64,3.16,71.05,3/12/2020,114.78,11.75009316,29.85711796,83.997,Undervalued,3.49,4.15
FANG,31.59,-30.17,7.72,6.49,4.48,-60.88%,699.64%,Oil - US Exploration & Product,Oils-Energy,5000192000.00,5.00,1.5,14.55,3/18/2020,114.14,53.94112061,72.32346241,29.0752,Overvalued,-2.51,-8.65
RJF,57.53,-22.7,-4.12,7.5,8,2.93%,61.58%,Finance - Investment Brokers,Finance,8013008000.00,8.01,1.48,54.21,3/23/2020,102.45,5.770902138,43.84577843,60,Undervalued,2.47,4.12
FB,154.18,-31.71,-2.61,6.44,24.56,87.93%,467.12%,Internet - Services,Computers and Technology,439482208000.00,439.48,0,137.1,3/18/2020,224.2,11.07796083,31.23104371,158.1664,Undervalued,3.99,2.52
WRK,25.68,-6.9,-2.21,3.73,7.18,0.00%,224.79%,Paper & Related Products,Basic Materials,6637150000.00,6.64,1.86,21.5,3/16/2020,44.39,16.27725857,42.14913269,26.7814,Undervalued,1.10,4.11
QCOM,65.23,-13.33,-1.36,2.6,26.16,-5.68%,-8.36%,Wireless Equipment,Computers and Technology,74560696000.00,74.56,2.48,55.78,4/11/2019,96.17,14.48719914,32.17219507,68.016,Undervalued,2.79,4.10
FDX,109.22,-23.87,-11.36,11.98,9.74,-37.36%,52.95%,Transportation - Air Freight,Transportation,28533726000.00,28.53,2.6,88.69,3/17/2020,199.32,18.79692364,45.20369255,116.6852,Undervalued,7.47,6.40
CMS,54.55,-9.77,-3.68,2.49,22.84,56.57%,-4.65%,Utility - Electric Power,Utilities,15503547000.00,15.50,1.63,46.03,3/23/2020,69.17,15.61869844,21.13633078,56.8716,Undervalued,2.32,4.08
FFIV,107.3,-8.83,-3.5,7.98,13.42,-5.73%,29.47%,Internet - Software,Computers and Technology,6524270000.00,6.52,0,79.78,3/18/2020,168.94,25.64771668,36.48632651,107.0916,Overvalued,-0.21,-0.19
FIS,115.22,-27.87,-4.88,6.42,18.24,75.91%,61.11%,Financial Transaction Services,Business Services,71012624000.00,71.01,1.4,91.68,3/18/2020,158.21,20.43048082,27.17274509,117.1008,Undervalued,1.88,1.61
SO,50.27,-13.63,-5.74,3.11,16.85,12.66%,15.99%,Utility - Electric Power,Utilities,52996044000.00,53.00,2.48,41.96,3/23/2020,71.1,16.53073404,29.29676512,52.4035,Undervalued,2.13,4.07
AEE,68.75,-14.41,-5.49,3.35,21.39,63.22%,-2.36%,Utility - Electric Power,Utilities,16963168000.00,16.96,1.98,58.74,3/23/2020,87.65,14.56,21.5630348,71.6565,Undervalued,2.91,4.06
CPRT,61.8,-21.96,-8.5,2.56,25.16,226.47%,75.50%,Auction Valuation Services,Business Services,14442969000.00,14.44,0,55.69,3/23/2020,104.88,9.886731392,41.07551487,64.4096,Undervalued,2.61,4.05
DOV,77.36,-28.36,-4.59,5.94,13.57,37.97%,-7.95%,Machinery - General Industrial,Industrial Products,11146337000.00,11.15,1.96,62.95,3/23/2020,120.26,18.62719752,35.67270913,80.6058,Undervalued,3.25,4.03
FLT,184.78,-81.63,-11.4,11.24,16.15,17.06%,120.85%,Financial Transaction Services,Business Services,15785571000.00,15.79,0,168.51,3/23/2020,329.85,8.805065483,43.98059724,181.526,Overvalued,-3.25,-1.79
AMP,90.32,-50.24,-13.01,16.25,5.79,-27.47%,5.70%,Finance - Investment Mgmt,Finance,11106560000.00,11.11,3.88,80.01,3/18/2020,180.85,11.414969,50.05805917,94.0875,Undervalued,3.77,4.00
AXP,73.6,-34.41,-15.13,8.19,9.36,-7.53%,30.61%,Finance - Misc Services,Finance,59471816000.00,59.47,1.72,67,3/18/2020,138.13,8.967391304,46.71686093,76.6584,Undervalued,3.06,3.99
JPM,84.05,-32.91,-7.08,10.49,8.34,36.22%,39.49%,Banks - Major Regional,Finance,258367776000.00,258.37,3.6,76.91,3/19/2020,141.1,8.494943486,40.43231751,87.4866,Undervalued,3.44,3.93
COF,42.27,-44.15,-13.03,12.08,3.64,-47.56%,41.46%,Finance - Consumer Loans,Finance,19335186000.00,19.34,1.6,38,3/18/2020,107.59,10.10172699,60.71196208,43.9712,Undervalued,1.70,3.87
FRT,65.81,-51.48,-10.24,4.59,10.49,-53.79%,36.39%,REIT - Equity Trust Retail,Finance,4976750000.00,4.98,4.2,64.68,4/3/2020,141.35,1.717064276,53.44181111,48.1491,Overvalued,-17.66,-36.68
STX,45.76,-4.45,-2.21,3.97,11.98,-17.67%,-24.29%,Computer - Storage Devices,Computers and Technology,11941346000.00,11.94,2.6,39.02,3/23/2020,64.17,14.72902098,28.68941873,47.5606,Undervalued,1.80,3.79
FTNT,101.44,-2.09,4.16,1.86,54.26,184.78%,179.90%,Security,Computers and Technology,17499920000.00,17.50,0,68.87,6/3/2019,121.82,32.10764984,16.72960105,100.9236,Overvalued,-0.52,-0.51
LNT,45.15,-9.62,-2.6,2.31,20.31,43.02%,8.88%,Utility - Electric Power,Utilities,11063150000.00,11.06,1.52,37.66,3/23/2020,60.28,16.58914729,25.0995355,46.9161,Undervalued,1.77,3.76
GD,125.68,-35.37,-4.39,11.98,10.68,-7.53%,27.54%,Aerospace - Defense,Aerospace,36473972000.00,36.47,4.08,100.55,3/23/2020,193.76,19.99522597,35.13625103,127.9464,Undervalued,2.27,1.77
RF,8.07,-6.02,-1.6,1.55,5.41,-15.85%,24.88%,Banks - Southeast,Finance,7726162000.00,7.73,0.62,6.94,3/19/2020,17.54,14.00247831,53.99087799,8.3855,Undervalued,0.32,3.76
GILD,78.21,4,5.36,6.14,12.54,-23.15%,-9.81%,Medical - Biomedical,Medical,98467560000.00,98.47,2.72,60.89,10/3/2019,85.97,22.14550569,9.02640456,76.9956,Overvalued,-1.21,-1.58
GIS,56.71,5.06,4.89,3.34,16.43,0.39%,-5.83%,Food - Misc & Diversified,Consumer Staples,34374140000.00,34.37,1.96,46.59,2/28/2020,60,17.84517722,5.483333333,54.8762,Overvalued,-1.83,-3.34
UHS,85.38,-39.96,-3.61,9.99,8.88,-27.91%,41.08%,Medical - Hospitals,Medical,7403384000.00,7.40,0.8,65.2,3/19/2020,157.79,23.63551183,45.8901071,88.7112,Undervalued,3.33,3.76
AIG,20.46,-21.03,-5.05,4.6,4.62,-63.85%,-22.76%,Insurance - Multi Line,Finance,17870214000.00,17.87,1.28,16.07,3/18/2020,58.66,21.45650049,65.12103648,21.252,Undervalued,0.79,3.73
BLL,62.17,-13.98,-2.21,2.54,25.42,71.69%,33.89%,Containers - Metal & Glass,Industrial Products,20254054000.00,20.25,0.6,51.26,3/23/2020,82.82,17.54865691,24.93359092,64.5668,Undervalued,2.40,3.71
GOOG,1097.88,-243.51,-12.83,51.58,21.73,103.31%,145.23%,Internet - Services,Computers and Technology,754556416000.00,754.56,0,1013.54,3/23/2020,1532.11,7.682078187,28.34195978,1120.8334,Undervalued,22.95,2.05
GOOGL,1092.7,-245.02,-17.56,51.58,21.66,99.20%,145.23%,Internet - Services,Computers and Technology,750996288000.00,751.00,0,1008.87,3/23/2020,1530.74,7.671822092,28.61622483,1117.2228,Undervalued,24.52,2.19
WFC,26.23,-14.3,-4.05,4.35,6.26,-51.71%,17.59%,Banks - Major Regional,Finance,107264904000.00,107.26,2.04,25.1,3/23/2020,54.75,4.308044224,52.0913242,27.231,Undervalued,1.00,3.68
GPN,126.3,-61.28,-18.66,5.81,22.49,153.41%,77.09%,Financial Transaction Services,Business Services,37906168000.00,37.91,0.78,105.54,3/23/2020,209.62,16.43705463,39.74811564,130.6669,Undervalued,4.37,3.34
GPS,5.65,-8.17,-2.14,1.98,2.78,-86.27%,-0.32%,Retail - Apparel & Shoes,Retail-Wholesale,2097856000.00,2.10,0.97,5.26,4/2/2020,27,6.902654867,79.07407407,5.5044,Overvalued,-0.15,-2.65
SWKS,80.3,-19.33,-6.79,5.52,15.1,-19.41%,47.36%,Semi Radio Frequency,Computers and Technology,13615910000.00,13.62,1.76,66.29,6/3/2019,128.48,17.44707347,37.5,83.352,Undervalued,3.05,3.66
GS,146.93,-56.5,-11.41,21,7.14,-24.90%,5.84%,Finance - Investment Brokers,Finance,50525404000.00,50.53,5,130.85,3/19/2020,250.46,10.94398693,41.33594187,149.94,Undervalued,3.01,2.01
GWW,238.76,-47.1,-8.39,17.29,13.86,1.73%,15.26%,Industrial Services,Industrial Products,12814965000.00,12.81,5.76,200.61,3/23/2020,346.6,15.97838834,31.11367571,239.6394,Undervalued,0.88,0.37
HAL,7.61,-8.34,1.22,1.24,6.06,-83.55%,-31.83%,Oil - Field Services,Oils-Energy,6696123000.00,6.70,0.72,4.25,3/18/2020,32.3,44.15243101,76.43962848,7.5144,Overvalued,-0.10,-1.27
HOLX,32.82,-14.43,-0.44,2.47,13.79,-1.44%,33.06%,Medical Instruments,Medical,8641572000.00,8.64,0,26.49,3/18/2020,55.25,19.28702011,40.59728507,34.0613,Undervalued,1.24,3.64
IP,29.37,-7.69,-1.25,4.44,6.86,-47.81%,-5.25%,Paper & Related Products,Basic Materials,11516447000.00,11.52,2.05,26.38,3/23/2020,47.96,10.18045625,38.76146789,30.4584,Undervalued,1.09,3.57
RSG,72.53,-18.78,-3.07,3.34,22.52,76.82%,17.19%,Waste Removal Svcs,Business Services,23148168000.00,23.15,1.62,65.37,3/23/2020,100.91,9.871777196,28.12407095,75.2168,Undervalued,2.69,3.57
MMC,79.9,-26.62,-5.55,4.66,17.76,39.88%,28.58%,Insurance - Brokers,Finance,40261452000.00,40.26,1.82,74.33,3/23/2020,119.88,6.971214018,33.35001668,82.7616,Undervalued,2.86,3.46
HD,178.7,-49.24,-11.85,10.25,17.69,55.07%,32.52%,Building Prds Retail - Wsale,Retail-Wholesale,192056384000.00,192.06,6,140.63,3/18/2020,247.36,21.30386122,27.75711514,181.3225,Undervalued,2.62,1.45
HES,33.52,-24.18,-0.51,-0.92,0,-54.16%,-39.51%,Oil - US Integrated,Oils-Energy,10230807000.00,10.23,1,26.06,3/18/2020,74.11,22.25536993,54.76993658,0,Overvalued,-33.52,#DIV/0!
TT,80.03,-26.03,-2.64,6.37,13.01,16.68%,28.76%,Technology Services,Business Services,19079232000.00,19.08,2.12,32.58,3/2/2020,146.85,59.29026615,45.50221314,82.8737,Undervalued,2.84,3.43
HIG,32.15,-19.43,-2.98,5.65,5.89,-24.46%,11.42%,Insurance - Multi Line,Finance,11517803000.00,11.52,1.3,19.04,3/18/2020,62.75,40.77760498,48.76494024,33.2785,Undervalued,1.13,3.39
HII,181.04,-26.56,-4.55,14.02,12.88,27.49%,27.91%,Aerospace - Defense,Aerospace,7372671000.00,7.37,4.12,147.14,3/23/2020,279.71,18.72514361,35.27582139,180.5776,Overvalued,-0.46,-0.26
TRV,93.89,-31.42,-6.06,9.6,10.12,-12.78%,16.27%,Insurance - Proprty & Casualty,Finance,23944860000.00,23.94,3.28,76.99,3/18/2020,155.09,17.99978698,39.46095815,97.152,Undervalued,3.26,3.36
HLT,55.94,-37.39,-13.21,3.91,14.8,-11.92%,-10.00%,Hotels & Motels,Consumer Discretionary,15520441000.00,15.52,0,44.3,3/18/2020,115.48,20.80800858,51.55871147,57.868,Undervalued,1.93,3.33
UPS,90,-1.3,-7.52,7.53,12.36,-7.02%,27.24%,Transportation - Air Freight,Transportation,77263832000.00,77.26,4.04,82,3/12/2020,125.31,8.888888889,28.17811827,93.0708,Undervalued,3.07,3.30
HON,127.45,-34.44,-3.82,8.16,16.28,21.73%,-8.92%,Conglomerates - Div Operations,Conglomerates,90820864000.00,90.82,3.6,101.08,3/23/2020,184.06,20.69046685,30.75627513,132.8448,Undervalued,5.39,4.06
ATO,94.16,-12.38,-3.25,4.46,21.83,70.06%,-41.27%,Utility - Gas Distribution,Utilities,11516427000.00,11.52,2.3,77.92,3/23/2020,121.08,17.24723874,22.23323423,97.3618,Undervalued,3.20,3.29
ETN,71.25,-21.6,-3.29,5.68,12.96,3.73%,-5.15%,Machinery - Electrical,Industrial Products,29314888000.00,29.31,2.92,56.42,3/23/2020,105.78,20.81403509,32.64322178,73.6128,Undervalued,2.36,3.21
DIS,93.88,-22.57,-2.52,5.56,17.44,-12.22%,42.52%,Media Conglomerates,Consumer Discretionary,169494608000.00,169.49,1.76,79.07,3/18/2020,153.41,15.77545803,38.80451079,96.9664,Undervalued,3.09,3.18
AJG,76.26,-24.43,-3.91,3.66,21.52,60.04%,55.52%,Insurance - Brokers,Finance,14459430000.00,14.46,1.8,65.09,3/18/2020,109.46,14.64725938,30.33071442,78.7632,Undervalued,2.50,3.18
HRL,48.38,5.39,3.42,1.75,27.19,66.94%,1.94%,Food - Meat Products,Consumer Staples,26017604000.00,26.02,0.93,37,5/23/2019,51.53,23.52211658,6.112943916,47.5825,Overvalued,-0.80,-1.68
EVRG,51.8,-17.05,-5.72,2.91,18.38,33.82%,97.86%,Other Alt Energy,Oils-Energy,11740936000.00,11.74,2.02,42.01,3/23/2020,76.57,18.8996139,32.34948413,53.4858,Undervalued,1.69,3.15
HST,9.06,-5.11,-2.22,1.26,5.4,-54.54%,2.15%,REIT - Equity Trust Other,Finance,6497633000.00,6.50,0.8,7.86,3/17/2020,19.99,13.24503311,54.67733867,6.804,Overvalued,-2.26,-33.16
HSY,139.77,-13.72,8.93,5.79,23.44,39.64%,7.61%,Food - Confectionery,Consumer Staples,29316480000.00,29.32,3.09,109.88,3/23/2020,162.2,21.38513272,13.82860666,135.7176,Overvalued,-4.05,-2.99
HUM,291.63,-33.74,-5.44,17.84,16.82,63.40%,33.79%,Medical - HMO,Medical,38531320000.00,38.53,2.5,208.25,3/23/2020,384.99,28.59102287,24.24998052,300.0688,Undervalued,8.44,2.81
HWM,12.54,-16.25,-4.14,0,5.9,-4.64%,0.00%,Mining - Non Ferrous,Basic Materials,5466425000.00,5.47,0.08,11.38,3/23/2020,34.27,9.250398724,63.40822877,0,Overvalued,-12.54,#DIV/0!
IBM,106.34,-22.56,-1.69,12.81,8.59,-34.70%,-16.86%,Computer - Integrated Systems,Computers and Technology,94473304000.00,94.47,6.48,90.56,3/23/2020,158.75,14.83919503,33.01417323,110.0379,Undervalued,3.70,3.36
CBRE,35.5,-22.23,-3.7,3.71,9.88,-7.82%,164.03%,Real Estate Operations,Finance,11885080000.00,11.89,0,29.17,3/23/2020,64.75,17.83098592,45.17374517,36.6548,Undervalued,1.15,3.15
IDXX,234.55,-16.7,2.8,4.88,49.12,205.48%,61.99%,Medical Instruments,Medical,20016260000.00,20.02,0,168.65,3/23/2020,296.25,28.09635472,20.82700422,239.7056,Undervalued,5.16,2.15
IEX,138.51,-10.91,7.33,5.79,23.55,82.01%,16.15%,Machinery - General Industrial,Industrial Products,10559862000.00,10.56,2,104.56,3/18/2020,178.14,24.51086564,22.24654766,136.3545,Overvalued,-2.16,-1.58
WY,15.34,-11.39,-1.86,0.38,41.68,-52.43%,-11.47%,Building Products - Wood,Construction,11436261000.00,11.44,1.36,13.1,3/23/2020,31.58,14.60234681,51.4249525,15.8384,Undervalued,0.50,3.15
ILMN,263.5,-9.5,-5.55,6.58,41.49,40.04%,90.34%,Medical - Biomedical,Medical,38734500000.00,38.73,0,196.78,3/18/2020,380.76,25.32068311,30.79630213,273.0042,Undervalued,9.50,3.48
INCY,78.59,0.79,9.63,2.15,35.85,-16.22%,322.04%,Medical - Biomedical,Medical,17036426000.00,17.04,0,62.48,3/23/2020,96.79,20.49879119,18.80359541,77.0775,Overvalued,-1.51,-1.96
